"Best4.Enterocytes","Enterocytes","Enteroendocrine","Goblet","Stem","TA"
1586,1747,1094,1335,1650,1647
875,848,658,832,913,900
808,828,464,798,905,841
1920,1796,1511,1994,1988,1965
4900,3648,5285,4388,4524,4726
1379,1433,1261,1324,1361,1387
892,853,899,809,961,890
818,799,464,1066,851,832
874,855,510,816,841,837
928,947,445,859,1011,985
778,790,427,727,882,769
1205,1050,881,948,1091,1052
884,905,677,879,918,884
2861,1976,3570,3156,2814,2625
5810,5731,8632,6055,5898,5922
5873,6181,6240,6518,5809,5905
2141,1872,1715,2302,2175,2044
1952,2807,3431,2321,2545,2423
4717,3799,3347,4335,4268,4272
2455,2424,1975,2521,2499,2430
2488,3325,2068,3049,2722,2686
6924,9480,6138,8896,7535,7499
2390,2496,1270,2427,2446,2404
2621,2516,2949,2464,2728,2717
6617,7489,6555,6800,6692,6866
5667,5231,7177,5472,5566,5178
5444,5681,5879,5998,6055,5736
1872,1426,2791,1524,1897,1783
1845,2359,1975,1783,1868,1868
1228,983,1298,1238,1386,1190
1058,946,992,1178,1100,1079
5068,4681,3764,5336,4770,4826
2156,2945,2847,2432,2602,2482
949,1045,1011,1242,1101,1079
704,801,723,898,864,859
1376,1439,1048,1833,1530,1570
2865,1910,3551,2128,2415,2345
1335,1391,936,1211,1441,1445
2183,2755,4098,2489,2478,2500
935,1324,2327,1207,1253,1239
849,883,825,868,875,893
4111,4978,4015,5575,4306,4423
5977,6786,6222,6533,6605,6882
2106,1843,1938,1831,1988,2007
847,893,603,1024,925,982
1703,1759,1484,2200,2003,1981
4187,4461,3672,4474,4106,4163
2311,3824,2198,2934,2430,2602
808,890,603,837,888,937
1261,1201,1159,1377,1439,1334
1777,1586,1595,1878,1970,1838
969,1001,621,938,1030,969
858,906,621,831,945,922
1007,1017,668,987,1051,1085
1160,1324,1261,1081,1210,1247
1376,1243,1956,1680,1555,1504
4263,3458,4998,4293,4705,4444
7746,6977,6537,8721,8253,8844
5327,4156,6565,4684,4855,4654
7102,6515,6676,7642,7353,7237
1225,1274,797,1423,1531,1432
1051,963,603,852,1053,1076
6527,8237,7770,6629,7650,7111
1035,1045,918,1058,1179,1127
1023,1044,807,985,1198,1073
1186,1002,834,1019,1215,1098
1540,1518,1576,1610,1640,1608
2447,2325,4590,2843,2764,2604
